Connecting to host 10.10.10.1, port 5203
[  5] local 10.10.10.3 port 60367 connected to 10.10.10.1 port 5203
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-1.00   sec   820 KBytes  6.72 Mbits/sec  580  
[  5]   1.00-2.00   sec   721 KBytes  5.91 Mbits/sec  510  
[  5]   2.00-3.00   sec   141 KBytes  1.16 Mbits/sec  100  
[  5]   3.00-4.00   sec   113 KBytes   927 Kbits/sec  80  
[  5]   4.00-5.00   sec  0.00 Bytes  0.00 bits/sec  0  
[  5]   5.00-6.00   sec   184 KBytes  1.51 Mbits/sec  130  
[  5]   6.00-7.00   sec  70.7 KBytes   579 Kbits/sec  50  
[  5]   7.00-8.00   sec  84.8 KBytes   695 Kbits/sec  60  
[  5]   8.00-9.00   sec   198 KBytes  1.62 Mbits/sec  140  
[  5]   9.00-10.00  sec  70.7 KBytes   579 Kbits/sec  50  
[  5]  10.00-11.00  sec   255 KBytes  2.09 Mbits/sec  180  
[  5]  11.00-12.00  sec   198 KBytes  1.62 Mbits/sec  140  
[  5]  12.00-13.00  sec  84.8 KBytes   695 Kbits/sec  60  
[  5]  13.00-14.00  sec  70.7 KBytes   579 Kbits/sec  50  
[  5]  14.00-15.00  sec  42.4 KBytes   348 Kbits/sec  30  
[  5]  15.00-16.00  sec   113 KBytes   926 Kbits/sec  80  
[  5]  16.00-17.00  sec  70.7 KBytes   579 Kbits/sec  50  
[  5]  17.00-18.00  sec   156 KBytes  1.27 Mbits/sec  110  
[  5]  18.00-19.00  sec  42.4 KBytes   347 Kbits/sec  30  
[  5]  19.00-20.00  sec  56.6 KBytes   463 Kbits/sec  40  
[  5]  20.00-21.00  sec   184 KBytes  1.51 Mbits/sec  130  
[  5]  21.00-22.00  sec   212 KBytes  1.74 Mbits/sec  150  
[  5]  22.00-23.00  sec  42.4 KBytes   347 Kbits/sec  30  
[  5]  23.00-24.00  sec  70.7 KBytes   580 Kbits/sec  50  
[  5]  24.00-25.00  sec   311 KBytes  2.55 Mbits/sec  220  
[  5]  25.00-26.00  sec   170 KBytes  1.39 Mbits/sec  120  
[  5]  26.00-27.00  sec   184 KBytes  1.51 Mbits/sec  130  
[  5]  27.00-28.00  sec   438 KBytes  3.59 Mbits/sec  310  
[  5]  28.00-29.00  sec  42.4 KBytes   347 Kbits/sec  30  
[  5]  29.00-30.00  sec   170 KBytes  1.39 Mbits/sec  120  
[  5]  30.00-31.00  sec  70.7 KBytes   579 Kbits/sec  50  
[  5]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  32.00-33.00  sec   269 KBytes  2.20 Mbits/sec  190  
[  5]  33.00-34.00  sec  42.4 KBytes   347 Kbits/sec  30  
[  5]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  35.00-36.00  sec   127 KBytes  1.04 Mbits/sec  90  
[  5]  36.00-37.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  37.00-38.00  sec  84.8 KBytes   695 Kbits/sec  60  
[  5]  38.00-39.00  sec  70.7 KBytes   579 Kbits/sec  50  
[  5]  39.00-40.00  sec   424 KBytes  3.48 Mbits/sec  300  
[  5]  40.00-41.00  sec   184 KBytes  1.51 Mbits/sec  130  
[  5]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  42.00-43.00  sec   113 KBytes   927 Kbits/sec  80  
[  5]  43.00-44.00  sec   226 KBytes  1.85 Mbits/sec  160  
[  5]  44.00-45.00  sec   170 KBytes  1.39 Mbits/sec  120  
[  5]  45.00-46.00  sec   467 KBytes  3.82 Mbits/sec  330  
[  5]  46.00-47.00  sec   311 KBytes  2.55 Mbits/sec  220  
[  5]  47.00-48.00  sec  70.7 KBytes   579 Kbits/sec  50  
[  5]  48.00-49.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  49.00-50.00  sec   141 KBytes  1.16 Mbits/sec  100  
[  5]  50.00-51.00  sec  42.4 KBytes   348 Kbits/sec  30  
[  5]  51.00-52.00  sec  84.8 KBytes   695 Kbits/sec  60  
[  5]  52.00-53.00  sec  84.8 KBytes   695 Kbits/sec  60  
[  5]  53.00-54.00  sec   127 KBytes  1.04 Mbits/sec  90  
[  5]  54.00-55.00  sec   113 KBytes   926 Kbits/sec  80  
[  5]  55.00-56.00  sec  42.4 KBytes   348 Kbits/sec  30  
[  5]  56.00-57.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  57.00-58.00  sec   184 KBytes  1.51 Mbits/sec  130  
[  5]  58.00-59.00  sec  0.00 Bytes  0.00 bits/sec  0  
[  5]  59.00-60.00  sec  84.8 KBytes   695 Kbits/sec  60  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-60.00  sec  8.64 MBytes  1.21 Mbits/sec  0.000 ms  0/6260 (0%)  sender
[  5]   0.00-63.19  sec  8.13 MBytes  1.08 Mbits/sec  7.210 ms  360/6247 (5.8%)  receiver

iperf Done.
